generator_name,feature_set_name,feature_columns,num_features,hidden_layers,num_hidden_layers,total_hidden_neurons,fold_validation_losses,mean_validation_loss,std_validation_loss,mean_best_epoch,k_folds,status,warning
G2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 4]",2,12,"[1.9720181552123153e-07, 1.1893167931826364e-06, 52.39870455944873]",17.466235315322447,24.70098588611221,361.0,3,valid,
G2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 8]",2,12,"[9.804363430076934e-07, 1.5021233682822996e-06, 7.928995634380359e-07]",1.0918197582426762e-06,3.000603275248718e-07,244.33333333333334,3,valid,
G2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4, 4]",3,12,"[1.2086628218835875e-07, 6.7866310750461e-07, 3.10031072560385e-05]",1.0600878881910488e-05,1.4428351171614372e-05,222.0,3,valid,
G2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4]",2,8,"[8.265530004610263e-07, 2.0289770466564924e-06, 2.756272734298119e-07]",1.04371910684911e-06,7.32088198302788e-07,275.6666666666667,3,valid,
G2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 8]",2,16,"[4.914605855839125e-06, 1.7951619884478716e-06, 1.219372509705907e-06]",2.643046784664301e-06,1.6233440467822295e-06,292.3333333333333,3,valid,
G2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[11, 11]",2,22,"[2.0561188914521306e-06, 4.605303917366497e-06, 3.998049258911467e-06]",3.5531573559100316e-06,1.0872082530051257e-06,209.66666666666666,3,valid,
G2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 4]",2,12,"[6.50950817556779e-07, 4.290360549137171e-07, 9.60571482261207e-07]",6.801861182439011e-07,2.1798089325453812e-07,285.3333333333333,3,valid,
G2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 8]",2,12,"[8.95295505064289e-07, 1.1905211851877038e-07, 2.8327710048274987e-09]",3.390601315292956e-07,3.9616922079910233e-07,314.0,3,valid,
G2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4, 4]",3,12,"[9.383368669959365e-08, 8.995805319409737e-07, 51.15998840332031]",17.05332979891151,24.117049582791978,327.0,3,valid,
W1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4]",2,8,"[5.944999287584282e-07, 9.333411411491847e-07, 1.243901354895621e-07]",5.507437351323917e-07,3.316990460743072e-07,59.333333333333336,3,valid,
W1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 8]",2,16,"[8.134450494427817e-07, 5.016465426811709e-07, 8.335140218475708e-07]",7.162018713238412e-07,1.5193459711351505e-07,31.666666666666668,3,valid,
W1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[11, 11]",2,22,"[2.411795321450426e-07, 9.955096383275227e-07, 1.785589610021469e-07]",4.717493771582374e-07,3.712357223900147e-07,21.0,3,valid,
W1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 4]",2,12,"[8.673194523492306e-07, 4.782149456680812e-07, 1.0468316306294611e-06]",7.974553428822576e-07,2.373351764176944e-07,26.0,3,valid,
W1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 8]",2,12,"[9.714823096907209e-07, 4.5713994739992427e-07, 4.726165438836848e-08]",4.919613038263378e-07,3.7811404811194987e-07,53.333333333333336,3,valid,
W1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4, 4]",3,12,"[1.153798516725375e-07, 1.402913267701299e-06, 9.399530940078901e-07]",8.194154044605756e-07,5.324988734252412e-07,38.333333333333336,3,valid,
W1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4]",2,8,"[7.865336198284229e-07, 2.8732852021182303e-07, 2.3880987755437235e-07]",4.3755733919820607e-07,2.475571960890455e-07,65.0,3,valid,
W1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 8]",2,16,"[2.7570211456211203e-07, 4.6879629602964464e-07, 9.445712972028074e-07]",5.630232359315214e-07,2.81075948246569e-07,46.666666666666664,3,valid,
W1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[11, 11]",2,22,"[2.98706825838861e-07, 5.186706115530101e-07, 4.11398931770733e-07]",4.095921230542014e-07,8.98089274505552e-08,41.333333333333336,3,valid,
W1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 4]",2,12,"[5.508049324764321e-07, 2.2930419464127063e-07, 3.3008829557430255e-07]",3.7006580756400177e-07,1.34261764737901e-07,47.0,3,valid,
W1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 8]",2,12,"[7.323244487965777e-07, 5.333033740073856e-07, 6.608989098318292e-07]",6.421755775452641e-07,8.232160280062637e-08,41.666666666666664,3,valid,
