scenario_id,time_id,generator_name,demand,previous_demand,next_demand,total_wind_generation_capacity,previous_wind_generation_capacity,next_wind_generation_capacity,residual_demand,previous_residual_demand,next_residual_demand,total_demand_over_horizon,total_wind_over_horizon,total_residual_over_horizon,target_bid_W1_B1
9,7,W1,0.11752377155387472,0.15494627730754645,0.11174712059253199,0.4463125750825483,0.5313714055161559,0.40084361373993305,0.3333279570804031,0.29439689326020907,0.36183959196652044,0.12477609846040486,0.5767219007287792,0.2980967695379342,0.28
10,0,W1,0.42276129366617926,0.44101478623032503,0.4910052803880513,0.3378419429636949,0.36702924829022837,0.33494768883475134,0.5740103470239122,0.5635807556665552,0.612960526336591,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
10,1,W1,0.4910052803880513,0.42276129366617926,0.6829609841091852,0.33494768883475134,0.3378419429636949,0.3659004065426286,0.612960526336591,0.5740103470239122,0.6953169230637462,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
10,2,W1,0.6829609841091852,0.4910052803880513,0.5897700194075649,0.3659004065426286,0.33494768883475134,0.4165253137080957,0.6953169230637462,0.612960526336591,0.609652556445725,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
10,3,W1,0.5897700194075649,0.6829609841091852,0.7232465492343241,0.4165253137080957,0.3659004065426286,0.49350475686928036,0.609652556445725,0.6953169230637462,0.6283314623412398,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
10,4,W1,0.7232465492343241,0.5897700194075649,0.7007949523086587,0.49350475686928036,0.4165253137080957,0.5044888781142717,0.6283314623412398,0.609652556445725,0.6085368202782313,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
10,5,W1,0.7007949523086587,0.7232465492343241,0.4904633876073079,0.5044888781142717,0.49350475686928036,0.4426032603042947,0.6085368202782313,0.6283314623412398,0.5377584029839527,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
10,6,W1,0.4904633876073079,0.7007949523086587,0.44101478623032503,0.4426032603042947,0.5044888781142717,0.36702924829022837,0.5377584029839527,0.6085368202782313,0.5635807556665552,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
10,7,W1,0.44101478623032503,0.4904633876073079,0.42276129366617926,0.36702924829022837,0.4426032603042947,0.3378419429636949,0.5635807556665552,0.5377584029839527,0.5740103470239122,0.6507467152158368,0.46326600101703813,0.6071055465660142,0.28
11,0,W1,0.5951482461509368,0.5989552521301585,0.6418459349397138,0.2532522907853109,0.25995224034223796,0.2655738939408323,0.726171990926838,0.7235705361561265,0.7428729873949769,0.9033096280208663,0.3184367856442919,0.8150220007097242,0.28
